Year,Solar PV Module Cost (2019 US$ per W)
1976,106.0862215
1977,80.62552832
1978,56.22569738
1979,47.73879966
1980,35.00845309
1981,26.52155537
1982,22.27810651
1983,19.09551986
1984,16.97379544
1985,14.85207101
1986,11.13905325
1987,8.486897718
1988,7.532121724
1989,8.168639053
1990,8.805156382
1991,7.95646661
1992,7.21386306
1993,7.107776839
1994,6.365173288
1995,5.834742181
1996,6.046914624
1997,6.365173288
1998,5.728655959
1999,5.092138631
2000,4.879966188
2001,4.773879966
2002,4.031276416
2003,3.978233305
2004,4.137362637
2005,4.243448859
2006,4.455621302
2007,4.137362637
2008,3.447802198
2009,2.386939983
2010,2.04475
2011,1.67725
2012,0.876416667
2013,0.696333333
2014,0.6415
2015,0.5965
2016,0.5505
2017,0.462166667
2018,0.4115
2019,0.37725
